titulo_do_texto,texto,descritor,comando,resposta_item,ano,tipo,origem,resposta,opcoes
O tesouro da casa de lambrequins1 amarelos,"– Não vou! Gritava o guri abraçado ao videogame [...]. – VAMOS! E a última palavra sobre o assunto ficou por conta do pai. Depois de algumas afogadas o motor do fusca funcionou e pegaram a estrada. A lua já ia alta no céu quando o carro parou e a mãe disse eufórica: – Queridos, chegamos! O piá ainda chateado entrou na casa com passos pesados e bateu a porta da sala com força, tanta força que o único quadro que enfeitava a parede caiu e desmontou-se. [...] foi quando viu colado no verso da imagem um papel amarelecido pelo tempo. Desdobrou-o com cuidado e... – Um mapa do tesouro! Murmurou para ninguém ouvir. Limpou a lambança [...] sonhando com um baú cheio de moedas de ouro e joias [...]. – Trinta passos com pernas de pau para o sudoeste. Um.... dois. E a contagem de passos o levou à casinha. [...] Sentado, ficou olhando as paredes de madeira, as aranhas penduradas [...], foi quando percebeu uma tábua meio solta meio presa e fuçando ali descobriu uma lata de metal. – Será o tesouro? [...] Mostrou a lata ao pai que ao abri-la ficou encantado. [...] – Que que é? [...] – É uma coleção de figurinhas lançada por uma marca de bala [...]. Na manhã seguinte, pai e filho estavam na porta da casinha para recomeçar a busca [...]. E a busca pelo tesouro continuou nos dias que vieram e levou os caçadores à descoberta de brinquedos e brincadeiras. Bilboquê, pião, carrinho de rolimã, um mundo de alegrias e diversão. Um dia [...] o pai alcançou um lambrequim amarelo do telhado e [...] ali encontrou uma nova parte do mapa do tesouro que dizia para dar 33 giros em direção ao portão. – Um... dois... vinte e um... trinta. Pai e filho, de tão tontos com os giros, caíram no jardim em meio a bocas-de-leão, lírios, jasmins, sentiram o cheiro das flores, da grama e viram o céu azul [...]. Antes de partir de volta à capital, o piá [...] dobrou meticulosamente o papel amarelado e o colocou atrás do quadro e pensou: – Quem sabe outro menino bate a porta e descobre o tesouro [...]. *Vocabulário: 1 lambrequins: enfeite que fica habitualmente preso no teto das casas.",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"Nesse texto, o termo “guri” é um exemplo de linguagem",a,8° ano,SPAECE,Avaliação paraná,arcaica.,"['arcaica.', 'científica.', 'padrão.', 'regional.']"
A música brasileira já não é como antes?,"Nos últimos anos, tem­se discutido sobre como a música brasileira mudou, saindo dos padrões das décadas passadas e atingindo outros patamares, ritmos e estilos. A arte em si é sempre atacada e comparada entre o que realmente é arte ou deixa de ser arte. [...] O mesmo acontece no meio musical. Estilos que hoje se destacam no cenário brasileiro, como funk ou piseiro, vêm sendo comparados com o MPB. Desse modo, surge um questionamento: a música brasileira já não é como antes? Não, a música brasileira não é como antes, mas isso não quer dizer que o que temos hoje deixe de ser música. [...] [...] o que decide se uma música é boa ou não é nossa própria opinião. Mas ela não faz com que os demais tipos de música deixem de ser música. E pasmem, funk e piseiro também são MPB! Música Popular Brasileira é música surgida no Brasil e popularmente ouvida no Brasil, o nome é autoexplicativo. Certo que existe o gênero MPB (os clássicos que conhecemos), mas os atuais não deixam de ser músicas populares brasileiras. Música não se compara. Arte não se compara. Elas coexistem. Há quem goste de determinado tipo, e há quem não goste. A MPB ainda existe, seja através de Gilberto Gil, Gal Costa e Rita Lee, ou através de Ludmilla, Iza e Barões da Pisadinha. Temos uma cultura enorme que merece ser conhecida lá fora, não deixe com que suas preferências atrapalhem a potencialidade cultural que temos.",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"Nesse texto, o trecho: “...tem ­se discutido sobre como a música brasileira mudou...” é um exemplo de linguagem",c,8° ano,SPAECE,Avaliação paraná,formal.,"['científica.', 'coloquial.', 'formal.', 'regional.']"
Zootopia: Essa cidade é o bicho,"Já foi o tempo em que as animações e desenhos eram feitos somente para crianças. O novo trabalho da Disney complementa essa nova tendência: Zootopia: Essa cidade é o bicho ainda traz animais fofos, em uma aparente aventura no padrão Disney. Mas se engana quem acha que Zootopia é mais uma caricata produção voltada exclusivamente ao público infantil. Zootopia, cidade cenário do filme, não tem presença humana, mas traz todos os elementos das grandes cidades e os problemas do mundo adulto [...] de forma clara e aprofundada. Os habitantes desta metrópole foram retratados como animais das mais diferentes espécies, dividindo a utopia de uma sociedade pacífica e harmoniosa, onde presas e predadores convivem em paz e harmonia social. [...]. E assim a cidade de Zootopia se apresenta ao público, na visão de Judy, uma coelha do interior que queria ser policial na cidade grande, enfrentando [...] dificuldades para ser aceita em meio aos mais fortes e aptos. As belas cenas iniciais convidam o espectador a acompanhar a personagem em sua admiração pela grandeza da metrópole, ao som da belíssima trilha sonora da cantora colombiana Shakira, que também faz a dublagem original da personagem Gazelle, a gazela Pop Star de Zootopia. [...] E falando nos animais de Zootopia, tanto os coadjuvantes quanto principais são profundos em sua construção, mostrando um trabalho de muita qualidade na criação de cenas, diálogos e texturas em cada um dos personagens em cena. O filme alterna momentos no melhor estilo Disney de ternura e felicidade, assim como momentos adultos e cheios de conflitos e profundidade. [...] Um ponto negativo do filme foi o 3D, que não acrescenta muitos efeitos além de profundidade em algumas cenas, o que poderia ser melhor trabalhado pela Disney. Mas no geral, Zootopia foi um belo trabalho e merece destaque pela ousadia e profundidade de criação. Zootopia é realmente uma cidade que é o bicho!",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"Nesse texto, a expressão “que é o bicho!” é um exemplo de linguagem",c,8° ano,SPAECE,Avaliação paraná,coloquial.,"['arcaica.', 'científica.', 'coloquial.', 'formal.']"
Maria Fumaça,"Chegava dezembro e lá vinha minha mãe me consultar a respeito da minha vontade de ir ou não passar as férias na casa da vó Ana, em Teixeira Soares, pequena cidade do interior do Paraná. Parece que ainda ouço mamãe dizer. – Carlinhos, você vai ou não passar as férias na casa da vovó? – Eba! Sim, sim, sim. Minha resposta era sempre sim. Viajar de trem era uma aventura que eu não podia perder [...]. Eu levantava muito cedo no dia da viagem. O trem, que era a Maria Fumaça, saía de Guarapuava, cidade onde eu morava, às cinco horas da manhã, ainda era escuro. E só chegava ao meu destino final à tardinha, quase noite. Durante o dia inteiro ia parando em lugarejos e cidades por onde passava para embarque e desembarque de passageiros. Sei de cor os nomes de algumas estações do caminho percorrido para a casa da minha avó [...]. A [...] locomotiva1 levava um comboio2 de vagões de carga e na parte de trás eram os vagões de passageiros. [...]. De vez em quando, passava pelos vagões um funcionário da empresa vendendo guloseimas. – Huuumm! [...] Eu gostava de imitar, meio cantarolando, o barulho das rodas de ferro nos trilhos: – Telelém... talalá... telelém ... talalá. Esse barulho acelerava ou ficava mais lento conforme a velocidade da Maria Fumaça. Pela janela via-se a locomotiva lá em frente e uma fileira de vagões fazendo curvas, atravessando florestas e paredões de rochedos. [...] Quando a Maria Fumaça se aproximava de lugarejos ou estações, o trem diminuía a velo cidade e apitava alto, parecia dizer: – Chegueeeeeiii! As pessoas que aguardavam na estação tinham os rostos festivos e cheios de expectativas. O leva e traz diário de coisas e gente, de encontros e desencontros movimentava as cidades. Era assim, quando eu [...] viajava de Maria Fumaça para a casa da minha avó, em 1965.",D23 - Identificar os níveis de linguagem e/ou as marcas linguísticas que evidenciam locutor e/ou interlocutor.,"Nesse texto, no trecho “O trem, que era a Maria Fumaça, saía de Guarapuava, cidade onde
eu morava, às cinco horas da manhã...” a linguagem utilizada é",d,8° ano,SPAECE,Avaliação paraná,forma.,"['arcaica.', 'científica.', 'coloquia.', 'forma.']"
Maria Fumaça,"Chegava dezembro e lá vinha minha mãe me consultar a respeito da minha vontade de ir ou não passar as férias na casa da vó Ana, em Teixeira Soares, pequena cidade do interior do Paraná. Parece que ainda ouço mamãe dizer. – Carlinhos, você vai ou não passar as férias na casa da vovó? – Eba! Sim, sim, sim. Minha resposta era sempre sim. Viajar de trem era uma aventura que eu não podia perder [...]. Eu levantava muito cedo no dia da viagem. O trem, que era a Maria Fumaça, saía de Guarapuava, cidade onde eu morava, às cinco horas da manhã, ainda era escuro. E só chegava ao meu destino final à tardinha, quase noite. Durante o dia inteiro ia parando em lugarejos e cidades por onde passava para embarque e desembarque de passageiros. Sei de cor os nomes de algumas estações do caminho percorrido para a casa da minha avó [...]. A [...] locomotiva1 levava um comboio2 de vagões de carga e na parte de trás eram os vagões de passageiros. [...]. De vez em quando, passava pelos vagões um funcionário da empresa vendendo guloseimas. – Huuumm! [...] Eu gostava de imitar, meio cantarolando, o barulho das rodas de ferro nos trilhos: – Telelém... talalá... telelém ... talalá. Esse barulho acelerava ou ficava mais lento conforme a velocidade da Maria Fumaça. Pela janela via-se a locomotiva lá em frente e uma fileira de vagões fazendo curvas, atravessando florestas e paredões de rochedos. [...] Quando a Maria Fumaça se aproximava de lugarejos ou estações, o trem diminuía a velo cidade e apitava alto, parecia dizer: – Chegueeeeeiii! As pessoas que aguardavam na estação tinham os rostos festivos e cheios de expectativas. O leva e traz diário de coisas e gente, de encontros e desencontros movimentava as cidades. Era assim, quando eu [...] viajava de Maria Fumaça para a casa da minha avó, em 1965. *Vocabulário: 1 locomotiva: trem. 2comboio: conjunto de veículos.",D21 - Reconhecer o efeito decorrente do emprego de recursos estilísticos e morfossintáticos.,"Nesse texto, o termo “des-” na palavra “desencontros” produz o sentido de",c,8° ano,SPAECE,Avaliação paraná,sinalizar oposição.,"['demostrar repetição.', 'indicar duplicidade.', 'sinalizar oposição.', 'revelar superioridade.']"
Quem é esse Will?,"Sente-se. [...] Meu nome é Willian Leite. Sou designer gráfico, quadrinista e ilustrador. Nasci em 1986 na discreta cidade de Porecatu, no Paraná. Atualmente moro em Apucarana, ainda no Paraná. Sou formado em Publicidade e Propaganda e pós-graduado em Design, Cognição e Mídia. O design foi até aqui o meu maior ganha-pão. Mas pouco a pouco o Will Tirando vem tomando conta da minha vida. Faço tiras desde 2007. Comecei publicando nas redes sociais da vida. Meu público era minha família e meus amigos. No início as tiras tinham um estilo bem conhecido no mundo das webcomics: o stickman ou boneco palitinho. Diante de muitas críticas e da necessidade de mudança, fui adaptando meu estilo até chegar no que é hoje. Sou só mais um cartunista influenciado pelos gigantes dos quadrinhos nacionais. Meus personagens, como você pode notar, não têm nariz [...]. Isso não é só influência. Isso é opção também. Meus desenhos não são bonitos, mas são felizes. Na internet ganhei um bom espaço graças (principalmente) a sites de humor [...]. É estranho elogiar o próprio trabalho, mas atribuo a boa aceitação dos leitores ao fato desses se identificarem com o conteúdo das tiras – que quase sempre abordam temas bem populares, por ter um estilo próprio e por publicar com boa frequência. O blog já ultrapassou a marca de 1000 tiras publicadas (sem contar as tiras palitos). Outro aspecto que cativa certos leitores é a pureza que as tiras carregam. [...] Há quem diga que as tiras despertam o poder de reflexão. Não sei… não é a prioridade que tenho quando as faço. [...]",D21 - Reconhecer o efeito decorrente do emprego de recursos estilísticos e morfossintáticos.,"Nesse texto, no trecho “... ou boneco palitinho.” a terminação “-inho” na palavra ""palitinho"" produz o sentido de",d,8° ano,SPAECE,Avaliação paraná,sugerir afetividade.,"['apontar reprovação.', 'demonstrar deboche.', 'marcar incerteza.', 'sugerir afetividade.']"
Suas coisas estão uma bagunça? [...],"Você já ouviu a frase: “se você sente que sua vida está bagunçada, comece arrumando suas gavetas”? Apesar de estranho, saiba que faz sentido: ordenar o exterior é um exercício para conseguir se organizar mentalmente, que pode ser com metas, objetivos ou mesmo listas de tarefas mais claras e objetivas – e, preferencialmente, que sejam possíveis de serem completadas. [...] Em determinadas situações projetamos no ambiente externo aquilo que nos incomoda, o que pode transparecer na ausência de mínima organização dos objetos, móveis, roupas, materiais etc., ou resumindo, uma bagunça. [...] cada um de nós se adapta ao ambiente externo de maneira única, portanto, alguns são aparentemente mais organizados, enquanto outros são mais desorganizados no dia a dia. Esses padrões comportamentais são comuns e não necessariamente refletem em problemas. Arrumar a bagunça externa dá um alívio, uma sensação de espaço nos conforta e a energia flui melhor. Mas, se internamente vivemos em estados de estresse, a vida vai sempre tender ao caos e logo a bagunça se instalará novamente. [...] Por isso, o ideal é buscar sempre estados interiores de alegria, paz interior, coragem, calma e gratidão que tornam possível criarmos relacionamentos harmoniosos, resultados que realmente nos satisfazem e soluções eficazes. [...]",D21 - Reconhecer o efeito decorrente do emprego de recursos estilísticos e morfossintáticos.,"Nesse texto, na palavra “desorganizados” o prefixo em ""des"" produz o sentido de",b,8° ano,SPAECE,Avaliação paraná,negação.,"['repetição.', 'negação.', 'superioridade.', 'duplicidade.']"
Praias onde vale a pena curtir o verão Prepare-se para escolher os lugares ideais para o banho de mar [...],"Está chegando o momento mais aguardado do ano. É quando os estudos dão uma trégua, o trabalho fica para depois e as únicas coisas importantes para fazer são curtir o sol, praticar esportes e aproveitar a paisagem. Para onde ir? Os 9.198 quilômetros do litoral brasileiro abrigam lugares paradisíacos, onde o banho de mar e a areia branquinha são uma tentação para quem passou 11 meses do ano vendo o mar a distância. Mas é preciso ser realista. Há pedaços da costa perdidos para as férias. “Em geral, a condição do litoral brasileiro é ruim para os banhos de mar”, confirma Luiz Roberto Tommasi, um dos maiores especialistas em poluição marinha do país, que há anos avalia as condições das praias. Diante da imensidão azul, pode parecer que o quadro não é assim tão grave. Afinal, o mar deveria diluir a sujeira toda deixada pelos turistas concentrados nesta época do ano. Mas o excesso de esgoto não se manifesta apenas pelo cheiro desagradável, a cor escura da água e o lixo generalizado. O esgoto mata o plâncton que produz o oxigênio e carrega bactérias nocivas e materiais que não são degradados. Entra na cadeia alimentar marinha e contamina os peixes. [...] A poluição das praias não é causada apenas pelo esgoto e a sujeira deixada pelos banhistas mal-educados. O petróleo que vaza dos navios, por exemplo, causa danos ecológicos que perduram durante anos. Mas é um problema localizado. A poluição mais grave do litoral brasileiro é provocada pelo saneamento deficiente. Apenas 4,8% da população das cidades costeiras é atendida pela rede de esgoto. As consequências na qualidade da água do mar são percebidas por meio de exames do nível de coliformes fecais. As medições periódicas indicam se a praia está contaminada por esgoto [...]. Muitos jornais costumam dar os resultados desses exames, principalmente no verão. Mas os interessados também podem acompanhar a situação de sua praia favorita pela internet [...].",D21 - Reconhecer o efeito decorrente do emprego de recursos estilísticos e morfossintáticos.,"No texto, no trecho “... onde o banho de mar e a areia branquinha são uma tentação...” o uso do diminutivo no termo ""branquinha""",d,8° ano,SPAECE,Avaliação paraná,"intensifica a cor da areia.","['demonstra afeto.', 'destaca a extensão da praia.', 'indica ironia.', 'intensifica a cor da areia.\r']"
Família paranaense fatura medalha de prata em concurso de queijo mais importante do mundo,"O Paraná foi muito bem representado no Concours Mondial du Fromage et des Produits Laitiers (Concurso Mundial dos Queijos e Laticínios). A premiação aconteceu de 12 a 14 de setembro, em Tours, na França. Os produtores de leite, Marisa Alexandre Martins e Leomar Melo Martins, responsáveis pelo Sítio Aliança, localizado no município Santana do Itararé, conquistaram a medalha de prata. A grande aposta da família Martins foi o queijo Maná Concafé Gourmet, com 30 dias de maturação. “O nosso queijo é feito de leite de vaca Jersey com gordura e qualidade alta. É feito com café gourmet de altíssima qualidade e precisa de 30 dias de maturação na câmara fria. É saboroso e possui um gosto não muito forte de café”, explica Leomar. Segundo o produtor, o prêmio internacional coloca o Estado do Paraná em posição de destaque. “O Paraná está entrando no âmbito nacional e internacional, isso demonstra que temos produtos originais de qualidade e seguros. Ganhar um prêmio internacional como esse, principalmente, para nós que somos de uma pequena propriedade de agricultura familiar do Norte do Paraná, é indescritível.” ressaltou a família Martins. [...] No total, participaram da competição 940 queijos de 46 países. Destes, 183 vieram de 57 produtores brasileiros, que garantiram 57 medalhas ao país: cinco delas foram super ouro, as mais importantes da disputa. O Brasil ainda conquistou 11 medalhas de ouro, 24 de prata e 17 de bronze. Ao todo, 331 medalhas foram concedidas na competição.",D21 - Reconhecer o efeito decorrente do emprego de recursos estilísticos e morfossintáticos.,"Nesse texto, o sufixo “-íssima”, na palavra “altíssima” produz o sentido de",c,8° ano,SPAECE,Avaliação paraná,indicar intensidade.,"['apontar negação.', 'demonstrar origem.', 'indicar intensidade.', 'sugerir anterioridade.']"
O tesouro da casa de lambrequins amarelos,"– Não vou! Gritava o guri abraçado ao videogame [...]. – VAMOS! E a última palavra sobre o assunto ficou por conta do pai. Depois de algumas afogadas o motor do fusca funcionou e pegaram a estrada. A lua já ia alta no céu quando o carro parou e a mãe disse eufórica: – Queridos, chegamos! O piá ainda chateado entrou na casa com passos pesados e bateu a porta da sala com força, tanta força que o único quadro que enfeitava a parede caiu e desmontou-se. [...] foi quando viu colado no verso da imagem um papel amarelecido pelo tempo. Desdobrou-o com cuidado e... – Um mapa do tesouro! Murmurou para ninguém ouvir. Limpou a lambança [...] sonhando com um baú cheio de moedas de ouro e joias [...]. – Trinta passos com pernas de pau para o sudoeste. Um.... dois. E a contagem de passos o levou à casinha. [...] Sentado, ficou olhando as paredes de madeira, as aranhas penduradas [...], foi quando percebeu uma tábua meio solta meio presa e fuçando ali descobriu uma lata de metal. – Será o tesouro? [...] Mostrou a lata ao pai que ao abri-la ficou encantado. [...] – Que que é? [...] – É uma coleção de figurinhas lançada por uma marca de bala [...]. Na manhã seguinte, pai e filho estavam na porta da casinha para recomeçar a busca [...]. E a busca pelo tesouro continuou nos dias que vieram e levou os caçadores à descoberta de brinquedos e brincadeiras. Bilboquê, pião, carrinho de rolimã, um mundo de alegrias e diversão. Um dia [...] o pai alcançou um lambrequim amarelo do telhado e [...] ali encontrou uma nova parte do mapa do tesouro que dizia para dar 33 giros em direção ao portão. – Um... dois... vinte e um... trinta. Pai e filho, de tão tontos com os giros, caíram no jardim em meio a bocas-de-leão, lírios, jasmins, sentiram o cheiro das flores, da grama e viram o céu azul [...]. Antes de partir de volta à capital, o piá [...] dobrou meticulosamente o papel amarelado e o colocou atrás do quadro e pensou: – Quem sabe outro menino bate a porta e descobre o tesouro [...]. *Vocabulário: 1 lambrequins: enfeite que fica habitualmente preso no teto das casas.",D20 - Reconhecer o efeito de sentido decorrente do uso da pontuação e de outras notações.,"Nesse texto, no trecho “– Será o tesouro?” o ponto de interrogação produz o sentido de",c,8° ano,SPAECE,Avaliação paraná,indicar uma dúvida.,"['apontar espanto.\r', 'enfatizar um alerta.', 'indicar uma dúvida.', 'demonstrar euforia.']"
